configuration,offset,cycles,ber
fixed,0,14.625,0.03125
fixed,0,14.625,0.5
fixed,0,14.625,0.0
fixed,0,14.625,0.03125
fixed,0,14.625,0.03125
fixed,0,14.625,0.0625
fixed,0,14.625,0.0
fixed,0,15.84375,0.0
fixed,0,15.84375,0.0
fixed,0,15.84375,0.09375
fixed,0,15.84375,0.78125
fixed,0,15.84375,0.03125
fixed,0,15.84375,0.4375
fixed,0,15.84375,0.5
fixed,0,15.84375,0.46875
fixed,0,15.84375,0.28125
fixed,0,15.84375,0.46875
fixed,0,15.84375,0.0
fixed,0,15.84375,0.0
fixed,0,15.84375,0.0
fixed,0,15.84375,0.03125
fixed,0,15.84375,0.9375
fixed,0,15.84375,0.5
fixed,0,15.84375,0.5
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.4375
fixed,0,17.0625,0.03125
fixed,0,17.0625,0.0
fixed,0,17.0625,0.03125
fixed,0,17.0625,0.03125
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,17.0625,0.5
fixed,0,17.0625,0.0
fixed,0,17.0625,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.46875
fixed,0,18.28125,0.4375
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.46875
fixed,0,18.28125,0.0
fixed,0,18.28125,0.46875
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,18.28125,0.0
fixed,0,19.5,0.375
fixed,0,19.5,0.375
fixed,0,19.5,0.03125
fixed,0,19.5,0.03125
fixed,0,19.5,0.46875
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.5
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,19.5,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.0
fixed,0,20.71875,0.5
fixed,0,20.71875,0.96875
fixed,0,20.71875,0.40625
fixed,0,20.71875,0.03125
fixed,0,20.71875,0.53125
fixed,0,20.71875,0.03125
fixed,0,20.71875,0.0
fixed,0,20.71875,0.4375
fixed,0,20.71875,0.46875
fixed,0,20.71875,0.28125
fixed,0,20.71875,0.75
fixed,0,20.71875,0.0
fixed,0,20.71875,1.0
fixed,0,20.71875,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.03125
fixed,0,21.9375,0.0
fixed,0,21.9375,0.03125
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0625
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,21.9375,0.03125
fixed,0,21.9375,0.4375
fixed,0,21.9375,0.21875
fixed,0,21.9375,0.0
fixed,0,21.9375,0.0
fixed,0,23.15625,0.5
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.46875
fixed,0,23.15625,0.0
fixed,0,23.15625,0.9375
fixed,0,23.15625,0.0
fixed,0,23.15625,0.03125
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0
fixed,0,23.15625,0.5
fixed,0,23.15625,0.0
fixed,0,23.15625,0.0625
fixed,0,23.15625,0.46875
fixed,0,23.15625,0.03125
fixed,0,12.1875,0.5
fixed,0,12.1875,0.375
fixed,0,12.1875,0.5
fixed,0,12.1875,0.53125
fixed,0,12.1875,0.5
fixed,0,12.1875,0.46875
fixed,0,12.1875,0.96875
fixed,0,12.1875,0.5
fixed,0,12.1875,0.0
fixed,0,12.1875,0.34375
fixed,0,12.1875,0.53125
fixed,0,12.1875,0.5
fixed,0,12.1875,0.53125
fixed,0,12.1875,0.1875
fixed,0,12.1875,0.0
fixed,0,12.1875,1.0
fixed,0,12.1875,0.5
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.34375
fixed,0,25.59375,0.03125
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,25.59375,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,26.8125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.53125
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,1.0
fixed,0,28.03125,1.0
fixed,0,28.03125,0.0625
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.0
fixed,0,28.03125,0.625
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.03125
fixed,0,29.25,0.5
fixed,0,29.25,1.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,29.25,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
