Configuration,distance,transmitters,ber
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.09615384615384616
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.5192307692307693
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.019230769230769232
Configuration.balanced,50,4,0.057692307692307696
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.5192307692307693
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.04807692307692308
Configuration.balanced,50,4,0.057692307692307696
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.5192307692307693
Configuration.balanced,50,4,0.09615384615384616
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.04807692307692308
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.6923076923076923
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.4326923076923077
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.36538461538461536
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.0
Configuration.balanced,50,1,0.0
Configuration.balanced,50,2,0.0
Configuration.balanced,50,3,0.0
Configuration.balanced,50,4,0.08653846153846154
Configuration.balanced,50,1,0.5096153846153846
Configuration.balanced,50,2,0.0
