Configuration,distance,transmitters,ber
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.4375
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.5625
Configuration.baseline,50,3,0.53125
Configuration.baseline,50,4,0.59375
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.15625
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.375
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.03125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.5625
Configuration.baseline,50,3,0.5625
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.53125
Configuration.baseline,50,3,0.5625
Configuration.baseline,50,4,0.59375
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.53125
Configuration.baseline,50,3,0.53125
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0625
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.40625
Configuration.baseline,50,2,0.40625
Configuration.baseline,50,3,0.40625
Configuration.baseline,50,4,0.375
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.53125
Configuration.baseline,50,3,0.59375
Configuration.baseline,50,4,0.59375
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.09375
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.125
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.59375
Configuration.baseline,50,2,0.5625
Configuration.baseline,50,3,0.5625
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.46875
Configuration.baseline,50,2,0.4375
Configuration.baseline,50,3,0.4375
Configuration.baseline,50,4,0.46875
Configuration.baseline,50,1,0.625
Configuration.baseline,50,2,0.59375
Configuration.baseline,50,3,0.625
Configuration.baseline,50,4,0.59375
Configuration.baseline,50,1,0.5625
Configuration.baseline,50,2,0.5625
Configuration.baseline,50,3,0.5625
Configuration.baseline,50,4,0.5625
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0625
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.4375
Configuration.baseline,50,2,0.4375
Configuration.baseline,50,3,0.4375
Configuration.baseline,50,4,0.375
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.5
Configuration.baseline,50,3,0.53125
Configuration.baseline,50,4,0.46875
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.03125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.5625
Configuration.baseline,50,2,0.5625
Configuration.baseline,50,3,0.59375
Configuration.baseline,50,4,0.5625
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.5
Configuration.baseline,50,3,0.53125
Configuration.baseline,50,4,0.53125
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,4,0.0
Configuration.baseline,50,1,0.53125
Configuration.baseline,50,2,0.5
